name,country,icao,latitude,longitude,elevation,longest_runway,magnetic_variation,airport_type,beacon,fuel_types,landing_fee,oxygen,repairs
SUPERIOR MUN,United States,12K,40.0462,-98.06125556,1692,4301,5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
AEROFLEX-ANDOVER,United States,12N,41.00861944,-74.73803333,583,1981,-13,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ONA,United States,12V,38.44088889,-82.20077778,572,3154,-6,Public/civil,FALSE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
LAKEVIEW-GRIFFITH,United States,13C,43.45225,-85.26463889,969,3499,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
LT MILLIKEN,United States,13K,37.85161111,-96.29202778,1208,3504,6,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
LAKE NORMAN,United States,14A,35.61386944,-80.89943056,839,3147,-7,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
FREMONT,United States,14G,41.33308333,-83.16119444,663,4137,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
TODD,United States,14Y,45.89825,-94.87386111,1332,3001,2,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
HASKELL MUN,United States,15F,33.19148611,-99.71787222,1625,3420,5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
COOK CO,United States,15J,31.13712222,-83.45382222,236,5001,-4,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
PERHAM MUN,United States,16D,46.61097222,-95.60611111,1376,4102,2,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
SENECA CO,United States,16G,41.09405556,-83.2125,786,4000,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
DAWSON MUN,United States,16J,31.74327778,-84.41930556,332,4507,-2,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
PORT BUCYRUS-CRAWFORD CO,United States,17G,40.78158333,-82.97480556,1008,3895,-7,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
DONALSONVILLE MUN,United States,17J,31.00697222,-84.87761111,148,5182,-4,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
BOISE CITY,United States,17K,36.77430556,-102.5104444,4174,4211,9,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
MAGEE MUN,United States,17M,31.86276944,-89.80062222,555,3108,-1,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
CROSS KEYS,United States,17N,39.705475,-75.03300278,162,3500,-10,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
FRANKLIN CO,United States,18A,34.34036111,-83.13080556,890,5000,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MC CREARY CO,United States,18I,36.69538889,-84.3915,1371,2999,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
MOORE,United States,19M,33.12546111,-90.02555833,340,3199,3,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
CAMDEN CO,United States,19N,39.77844444,-74.94780556,150,3094,-12,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CAMPBELL,United States,1A3,35.01580556,-84.34683333,1789,3500,-5,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
MACON CO,United States,1A5,35.22231111,-83.41999722,2034,5000,-5,Public/civil,TRUE,"80-87 octane, JET A, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Minor Engine, Major Airframe, Major Engine"
MIDDLESBORO-BELL CO,United States,1A6,36.61025,-83.73730556,1154,3631,-5,Public/civil,FALSE,"80-87 octane, JET A-1, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
PRATTVILLE-GROUBY FIELD,United States,1A9,32.43872222,-86.51269444,225,5400,-3,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Minor Engine, Major Airframe, Major Engine"
DEXTER REGL,United States,1B0,45.00450556,-69.23743889,533,3008,-18,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
COLUMBIA CO,United States,1B1,42.29130556,-73.71033333,198,5350,-13,Public/civil,TRUE,"80-87 octane, 100 low lead (LL) octane, JET A, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Airframe, Minor Engine, Major Engine"
HOPEDALE INDUSTRIAL PARK,United States,1B6,42.10648611,-71.51008889,269,3172,-16,Public/civil,FALSE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MANSFIELD MUN,United States,1B9,42.00090556,-71.19821944,122,3503,-16,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
PAXTON,United States,1C1,40.44897778,-88.12773889,779,3409,-3,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
BOLINGBROOK'S CLOW INTL,United States,1C5,41.69591667,-88.1295,675,3360,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MILBANK MUN,United States,1D1,45.2305,-96.56608333,1118,4000,5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
CANTON-PLYMOUTH-METTETAL,United States,1D2,42.34780556,-83.45633333,696,2302,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
ARDMORE DOWNTOWN EXECUTIVE,United States,1F0,34.14697222,-97.12266667,845,5014,4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
MADILL MUN,United States,1F4,34.14040278,-96.81203333,890,3005,8,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
WOOD CO,United States,1G0,41.391,-83.63013889,673,4199,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Airframe, Major Engine"
ELYRIA,United States,1G1,41.33152778,-82.10025,758,3053,-7.1,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
KENT STATE UNIVERSITY,United States,1G3,41.15138889,-81.41511111,1134,4000,-7,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",FALSE,Low Pressure Bottle,Major Engine
MEDINA MUN,United States,1G5,41.13144444,-81.76488889,1190,3556,-7,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CREVE COEUR,United States,1H0,38.72733333,-90.50841667,462,4500,0,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Minor Engine, Major Engine"
EFFINGHAM CO MEML,United States,1H2,39.07044444,-88.53352778,585,5103,-1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CASEY MUN,United States,1H8,39.30250833,-88.00406111,655,4001,-3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
TRI CO,United States,1J0,30.84577778,-85.60138889,85,4000,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
LLOYD STEARMAN FIELD,United States,1K1,37.77444444,-97.11322222,1364,5106,4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
PERRY,United States,1K4,35.15506667,-97.47039444,1169,3004,9,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
SOUTH GRAND LAKE REGL,United States,1K8,36.54636111,-95.01352778,783,4730,2,Public/civil,FALSE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
POSEY,United States,1M4,34.28033333,-87.60041667,930,5008,-1,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,Major Engine
PORTLAND MUN,United States,1M5,36.59286111,-86.47691667,817,5000,-2,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MOUNTAIN GROVE MEML,United States,1MO,37.12086111,-92.31010556,1476,2922,1,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,"Major Airframe, Major Engine"
BLAIRSTOWN,United States,1N7,40.97113333,-74.99750278,372,3112,-13,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,"High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
LAMPSON,United States,1O2,38.99061111,-122.9007222,1380,3600,16,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
LODI,United States,1O3,38.20244167,-121.2691417,60,3547,16,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
THOMAS MUN,United States,1O4,35.73366667,-98.73052778,1733,3771,5,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
BROOKHAVEN-LINCOLN CO,United States,1R7,31.60583333,-90.40930556,492,5000,3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
BAY MINETTE MUN,United States,1R8,30.87033333,-87.81933333,248,5500,0,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
TILLITT,United States,1S3,46.27115,-106.6239028,2729,4799,9,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
BEAR LAKE CO,United States,1U7,42.24975,-111.3416389,5933,5728,11,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,"High Pressure, Low Pressure Bottle",Major Engine
FREMONT CO,United States,1V6,38.42856111,-105.1068556,5442,5399,11,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
HIGGINS-LIPSCOMB CO,United States,1X1,36.10590278,-100.0257056,2566,3969,7.8,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
ROBBINS,United States,20A,33.97127778,-86.38038889,1125,4203,-3,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
KINGSTON-ULSTER,United States,20N,41.98525,-73.96433333,147,3100,-13,Public/civil,FALSE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
BEACH,United States,20U,46.92516667,-103.9820556,2756,4200,8,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,Major Engine
MC ELROY,United States,20V,40.05344444,-106.3689722,7415,5540,9,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
LAKE ELMO,United States,21D,44.99749167,-92.85568056,933,2849,1,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ARNER MEML,United States,22N,40.80950833,-75.76149722,534,3000,-12,Public/civil,TRUE,"80-87 octane, 100 low lead (LL) octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
DEVINE MUN,United States,23R,29.13838889,-98.94188889,702,3399,7,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
JACKSON CO,United States,24A,35.31721111,-83.20970278,2857,3210,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
SUWANNEE CO,United States,24J,30.30038889,-83.02438889,103,4005,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
RIPLEY,United States,25M,34.72272222,-89.01469444,467,4400,-1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
OCEAN CITY MUN,United States,26N,39.26348056,-74.60747778,6,2972,-10,Public/civil,FALSE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
JACKSON CO,United States,26R,29.001,-96.58196111,61,3393,3,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
GEORGETOWN-SCOTT CO REGL,United States,27K,38.23444444,-84.43469444,947,5498,-3,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
PALATKA MUN-LT KAY LARKIN FIELD,United States,28J,29.65838333,-81.68950278,48,6000,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Major Airframe, Major Engine"
GROVE CITY,United States,29D,41.14602778,-80.16775,1370,4500,-9,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
KROELINGER,United States,29N,39.52400556,-75.04634167,93,2086,-10,Public/civil,FALSE,JET 5,FALSE,Low Pressure Bottle,Major Engine
ANTON,United States,2A0,35.48625,-84.93108333,718,5001,-4,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
JAMESTOWN MUN,United States,2A1,36.34969444,-84.94663889,1694,3498,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Major Airframe, Major Engine"
HOLLEY MOUNTAIN,United States,2A2,35.65071944,-92.40381389,1270,4795,2,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
CAUSEY,United States,2A5,35.91178611,-79.61764444,723,3800,-8,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
PARLIN,United States,2B3,43.38706944,-72.18761111,785,3448,-16,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
PITTSFIELD MUN,United States,2B7,44.76852778,-69.37441667,197,4003,-17,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CAVALIER MUN,United States,2C8,48.78372222,-97.63197222,892,3299,6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
OAKES MUN,United States,2D5,46.17329722,-98.08003889,1335,3505,7,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
COMMERCE MUN,United States,2F7,33.29286111,-95.89641667,516,3907,4,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CONCORD,United States,2G1,41.66704444,-81.19718333,999,2181,-7,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
JEFFERSON CO,United States,2G2,40.36061111,-80.70169444,1198,5001,-8,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,Low Pressure Bottle,Major Engine
